	Source	Target	Weight	Type
3936	AblaBmeier_M	Rigoll_G	1	Undirected
3969	Visa_A	Visa_A	1	Undirected
3968	Lykken_D	McGue_M	1	Undirected
3967	Hettinger_L	Hotho_A	1	Undirected
3906	Kaza_S	Tseng_C	1	Undirected
3907	Köhler_R	Naumann_S	1	Undirected
3908	West_R	West_R	1	Undirected
3920	Schaalje_G	Snow_G	1	Undirected
3926	Smith_N	Underwood_T	1	Undirected
3925	Allison_S	Jockers_M	1	Undirected
3924	De-Roeck_A	Garthwaite_P	1	Undirected
3923	Tambovtsev_J	Tambovtsev_Y	1	Undirected
3922	Gross_D	Miller_K	1	Undirected
3921	Egea_E	Henkels_R	1	Undirected
3919	Llopis_F	Suárez_A	1	Undirected
3910	Afroz_S	Stoler_A	1	Undirected
3918	Kato_T	Schubert_L	1	Undirected
3916	Chen_Y	Chen_Y	1	Undirected
3914	Nadalutti_P	Tuzzi_A	1	Undirected
3970	Berryman_M	Sabordo_M	1	Undirected
3913	Allen_J	Hwang_C	1	Undirected
3911	Mohan_A	Rogers_M	1	Undirected
4012	Riddle_E	Riddle_E	1	Undirected
4011	Bell_E	Damon_B	1	Undirected
4010	Aristotle	Aristotle	1	Undirected
4008	Cocke_J	Pietra_S	1	Undirected
3800	Swartz_T	Swartz_T	1	Undirected
3799	Sgroi_A	Wells_B	1	Undirected
3798	Holmes_P	Marsden_J	1	Undirected
3797	Neumann_F	Neumann_F	1	Undirected
3796	Swadesh_M	Swadesh_M	1	Undirected
3793	Hu_Q	Ulrich_A	1	Undirected
3792	Meyer-zu-Eissen_S	Stein_B	1	Undirected
3791	Funai_T	Funai_T	1	Undirected
3790	Kurimo_M	Turunen_V	1	Undirected
3789	Conlin_J	Rentoumi_V	1	Undirected
3788	Van-Everbroeck_E	Van-Everbroeck_E	1	Undirected
3787	Castellan_J	Siegel_S	1	Undirected
3786	Aiden_E	Michel_J	1	Undirected
3785	Chaudhuri_P	Rabinovich_M	1	Undirected
3784	Brockman_W	Orwant_J	1	Undirected
3801	Ledoux_C	Viprey_J	1	Undirected
3802	Li_X	Wee_W	1	Undirected
3803	Egbert_J	Egbert_J	1	Undirected
3813	Francis_W	Kučera_H	1	Undirected
3745	Rodríguez_H	Serrano_J	1	Undirected
3743	Crerar_M	Crerar_M	1	Undirected
3778	Byrne_E	Soldatova_L	1	Undirected
3779	Malone_B	Muhlenbruck_L	1	Undirected
3780	Montoyo_A	Palomar_M	1	Undirected
3781	Azrif_M	Norwati_M	1	Undirected
3812	Zhang_J	Zhang_Y	1	Undirected
3804	Anand_S	Dawn_A	1	Undirected
3811	Dick_M	Walsh_M	1	Undirected
3809	McKenna_W	Ramsland_M	1	Undirected
3808	Keselj_V	Wang_S	1	Undirected
3807	Camtepe_A	Kirschnick_N	1	Undirected
3806	Guzmán-Cabrera_R	Montes-y-Gómez_M	1	Undirected
3805	Bohm_C	Kriegel_H	1	Undirected
3783	Perkins_R	Perkins_R	1	Undirected
3782	Argamon_S	Goulain_J	1	Undirected
3891	Bock_P	Schuster_J	1	Undirected
3983	Clancy_D	Orwant_J	1	Undirected
3990	Carroll_M	Neill_J	1	Undirected
3989	Amitay_E	Richmond_K	1	Undirected
3988	Adam_L	Rincher_A	1	Undirected
3987	Michel_J	The-Google-Books-Team	1	Undirected
3986	Iancu_C	Steitz_P	1	Undirected
3985	Abari_K	Hunyadi_L	1	Undirected
3982	Harman_D	Harman_D	1	Undirected
3991	Carmona_J	Padró_L	1	Undirected
3981	Gill_P	Mahanti_A	1	Undirected
3980	Dillon_M	Dillon_M	1	Undirected
3978	Roberts_A	Roberts_A	1	Undirected
3977	McIntosh_R	McIntosh_R	1	Undirected
3975	Mozgovoy_M	Mozgovoy_M	1	Undirected
3974	Dahl_M	Vickers_B	1	Undirected
3972	Farnham_W	Farnham_W	1	Undirected
3994	Batista_L	Rique-JR_A	1	Undirected
3892	Berchtold_S	Bohm_C	1	Undirected
4003	Swanson_B	Swanson_B	1	Undirected
3894	Dreher_J	Young_E	1	Undirected
3993	Casarez_A	Dexter_J	1	Undirected
4007	Casarez_A	Kannan_A	1	Undirected
4006	Hu_Q	Wayman_J	1	Undirected
4005	Cerra_D	Datcu_M	1	Undirected
4004	Simpson_E	Simpson_E	1	Undirected
4002	Baldock_M	Sousa_R	1	Undirected
3995	Amancio_D	Costa_L	1	Undirected
4001	Elovici_Y	Lohlein_B	1	Undirected
4000	Manning_C	Schuetze_H	1	Undirected
3999	Erukhimov_V	Zolotykh_N	1	Undirected
3998	Donegan_M	Hansen_D	1	Undirected
3997	Lynch_G	Vogel_C	1	Undirected
3996	King_R	Whelan_K	1	Undirected
3966	Abramavich_A	Abramavich_A	1	Undirected
3965	Ryan_M	Speer_S	1	Undirected
3964	Carmona_J	Turmo_J	1	Undirected
3564	Mezaour_A	Roche_M	1	Undirected
3580	Bryant_L	Colyvas_K	1	Undirected
3436	Ilsemann_H	Ilsemann_H	1	Undirected
3452	Messerman_A	Moller_S	1	Undirected
3451	Eliot_S	Eliot_S	1	Undirected
3450	Li_Q	Li_Q	1	Undirected
3449	Ericsson_S	Rupp_C	1	Undirected
3448	Ly-Gagnon_D	Strooper_P	1	Undirected
3447	Lodhi_H	Lodhi_H	1	Undirected
3446	Sigelman_L	Sigelman_L	1	Undirected
3445	Nevalainen_T	Papapetrou_P	1	Undirected
3444	Orwant_J	Pinker_S	1	Undirected
3442	Van-Cranenburgh_A	Van-Cranenburgh_A	1	Undirected
3441	Anbeek_T	Verhagen_A	1	Undirected
3440	Michaelson_S	Michaelson_S	1	Undirected
3438	Abramson_N	Abramson_N	1	Undirected
3499	Dimitroulia_T	Mikros_G	1	Undirected
3501	Colyvas_K	Worrall_L	1	Undirected
3546	Baek_J	Baek_J	1	Undirected
3555	Beekhof_F	Holotyak_T	1	Undirected
3561	Tseng_C	Wang_G	1	Undirected
3560	Tambovtsev_Y	Tambovtseva_J	1	Undirected
3559	Pruscha_H	Pruscha_H	1	Undirected
3558	Jautze_K	Jong_H	1	Undirected
3557	Fligelstone_S	Leech_G	1	Undirected
3556	Walpole_J	Walpole_J	1	Undirected
3554	Denton_T	Denton_T	1	Undirected
3547	Tambouratzis_G	Vassiliou_M	1	Undirected
3553	Paolino_L	Tortora_G	1	Undirected
3552	Yang_A	Yien_H	1	Undirected
3551	Kern_R	Klampfl_S	1	Undirected
3550	Ariba_B	Barr_G	1	Undirected
3549	Dobranski_S	Dobranski_S	1	Undirected
3548	Goertzel_B	McAllister_T	1	Undirected
3437	Gong_N	Shin_E	1	Undirected
3435	Nickell_J	Nickell_J	1	Undirected
3497	Brennan_M	Brennan_M	1	Undirected
3485	Lopez_J	Lushkov_A	1	Undirected
3493	Cunningham_S	Littin_J	1	Undirected
3492	Moïse_C	Verine_B	1	Undirected
3490	Tirvengadum_V	Tirvengadum_V	1	Undirected
3489	Grant_T	Silva_R	1	Undirected
3487	Hartley_A	Tournier_M	1	Undirected
3486	Hathout_N	Urieli_A	1	Undirected
3484	Knepley_J	Ranson_N	1	Undirected
3458	Homant_R	Penner_L	1	Undirected
3483	Ganascia_J	Glaudes_P	1	Undirected
3482	Kestemont_M	Winter_Y	1	Undirected
3481	Croatto_P	Croatto_P	1	Undirected
3479	Lachenbruch_P	Mickey_M	1	Undirected
3478	Juola_P	Ruecker_S	1	Undirected
3477	Poulin_C	Vepstas_L	1	Undirected
3496	Diwersy_S	Evert_S	1	Undirected
3456	Rosenthal_J	Yoon_A	1	Undirected
3434	Pereira_F	Warren_D	1	Undirected
3425	Teleman_U	Teleman_U	1	Undirected
3432	Brown_J	Covington_M	1	Undirected
3431	Sayoy_J	Sayoy_J	1	Undirected
3430	Mani_I	Mani_I	1	Undirected
3429	Baayen_R	Haverkort_M	1	Undirected
3428	Overly_J	Overly_J	1	Undirected
3427	Johnson_C	Turpin_A	1	Undirected
