	Id	Weight	Label
1608	Brown_C	1	Brown_C
1386	Kanigel_R	1	Kanigel_R
1387	McKenzie_D	1	McKenzie_D
2961	Kaster_A	1	Kaster_A
1389	Kobourov_S	1	Kobourov_S
1390	Spinellis_D	1	Spinellis_D
1392	Dershowitz_N	1	Dershowitz_N
2964	McAllister_T	1	McAllister_T
1393	Ali_H	1	Ali_H
1394	Homant_R	1	Homant_R
1395	Papapetrou_P	1	Papapetrou_P
1396	Monaco_J	1	Monaco_J
1397	Bungarten_T	1	Bungarten_T
1398	Demiroz_G	1	Demiroz_G
1399	Chiu_D	1	Chiu_D
1400	McKenzie_J	1	McKenzie_J
1384	Paroubek_P	1	Paroubek_P
2963	Kahn_C	1	Kahn_C
1429	Ben-Musa_M	1	Ben-Musa_M
1431	Mills_D	1	Mills_D
1831	Crombez_T	1	Crombez_T
1305	Saradha_R	1	Saradha_R
2953	Masip_J	1	Masip_J
2952	Philippides_D	1	Philippides_D
1413	Gisin_N	1	Gisin_N
1363	Gilula_Z	1	Gilula_Z
1362	Alpaydin_E	1	Alpaydin_E
1361	Lindholm_M	1	Lindholm_M
1299	Michaelson_G	1	Michaelson_G
1300	Gasparov_M	1	Gasparov_M
2601	Myhill_J	1	Myhill_J
1302	Hess_S	1	Hess_S
1306	Shinghal_R	1	Shinghal_R
2954	Paloski_A	1	Paloski_A
1307	Bernet_C	1	Bernet_C
1298	Heydel_M	1	Heydel_M
1308	Simonton_D	1	Simonton_D
1310	Sumita_E	1	Sumita_E
1311	Ashley_L	1	Ashley_L
2981	Jones_K	1	Jones_K
1313	Brock_D	1	Brock_D
1314	Adamo_G	1	Adamo_G
1315	Strooper_P	1	Strooper_P
1316	Umphress_D	1	Umphress_D
1418	Yang_R	1	Yang_R
1416	Kieft_R	1	Kieft_R
2950	Thompson_R	1	Thompson_R
1423	Farach_M	1	Farach_M
1432	Bakelman_N	1	Bakelman_N
2948	Donaldson_J	1	Donaldson_J
1435	Chater_N	1	Chater_N
2945	Inches_G	1	Inches_G
1437	Flashman_L	1	Flashman_L
1438	González-Díaz_V	1	González-Díaz_V
1439	Martin_N	1	Martin_N
1440	Kantor_P	1	Kantor_P
1433	Crane_G	1	Crane_G
1364	Juillard_M	1	Juillard_M
1421	Floyd_S	1	Floyd_S
1415	Hatef_M	1	Hatef_M
2959	Kirschenbaum_M	1	Kirschenbaum_M
1406	Tukey_J	1	Tukey_J
2957	López_F	1	López_F
1408	Bernardini_S	1	Bernardini_S
1409	Siersdorfer_S	1	Siersdorfer_S
1410	Crossley_S	1	Crossley_S
1411	Webb_L	1	Webb_L
2951	Storey_S	1	Storey_S
1412	Canter_D	1	Canter_D
1414	Shcherbinin_V	1	Shcherbinin_V
1832	Raiha_K	1	Raiha_K
1830	Hellerstein_L	1	Hellerstein_L
1932	Celata_C	1	Celata_C
1795	Hengartner_N	1	Hengartner_N
1611	Liu_G	1	Liu_G
1858	Bazire_J	1	Bazire_J
1856	Meyer_J	1	Meyer_J
1796	Kleiner_K	1	Kleiner_K
2843	Voloshynovskiy_S	1	Voloshynovskiy_S
1798	Avello_D	1	Avello_D
2842	Wujastyk_D	1	Wujastyk_D
1800	Domingos_P	1	Domingos_P
1801	Anonymous	1	Anonymous
2841	Marcus_A	1	Marcus_A
1803	Baronchelli_A	1	Baronchelli_A
2810	Woods_M	1	Woods_M
1805	Van-Cranenburgh_A	1	Van-Cranenburgh_A
1806	Phillips_C	1	Phillips_C
2839	Petrović_S	1	Petrović_S
1808	Palmer_R	1	Palmer_R
1809	Chaitin_G	1	Chaitin_G
1811	Mehler_A	1	Mehler_A
2837	Dreier_D	1	Dreier_D
1804	Cohen_D	1	Cohen_D
1813	St-Vincent_S	1	St-Vincent_S
2844	Gunetti_D	1	Gunetti_D
1910	Kozinov_E	1	Kozinov_E
